Mean,Variance,Median,Lower Quartile,Upper Quartile,IQR,Skewness,Kurtosis,Peak_to_Avg,Min_Max_Ratio,Power_Range,Coefficient_Var,Label
-27.698379413082943,358.2734870007219,-22.875678112804806,-41.43750884519786,-12.100548376357084,29.33696046884078,-0.3252246523441442,-0.8260701812580633,-0.22829693577315596,-10.291621884266004,71.40206451026725,-0.6833653834053588,0.0
-30.13312187742279,421.09571001287793,-29.14606783424783,-44.744755560744416,-15.142845214590885,29.60191034615353,-0.24535690236569205,-0.8504397325455839,-0.12907694597058797,-18.222992518575772,74.76766301790992,-0.6809986960524433,0.0
-39.213064241560936,460.2734068030507,-44.00083338025546,-56.678713249234555,-20.465426556861708,36.21328669237285,0.2850595834880926,-1.1877846731779802,-0.006967556389641975,-264.1901162211657,72.4550410581302,-0.5471131595218359,0.0
-40.31035414749445,416.2546181373996,-38.234621269756985,-53.410165937746335,-28.349101952064284,25.06106398568205,0.03673829529252452,-0.4656094329669296,-0.09612306535819362,-20.51133866875461,83.35116289922681,-0.5061309773065531,0.0
-34.91604611001517,338.03200161328385,-36.04076633001465,-49.08661375282926,-18.892264778122957,30.1943489747063,-0.025860995385953264,-0.9474086421896608,0.12373333448824068,16.351795121444518,66.32403519269538,-0.5265672568284974,0.0
-31.819752919394904,430.04545787652614,-35.43768381969534,-43.522049413314676,-18.28743231591024,25.234617097404435,-0.18777375060961882,-0.5306900053921435,-0.030182083164254577,-80.21537127776942,77.9981403993325,-0.6517189955462921,0.0
-35.49989326744495,517.8702514089841,-32.90386761152905,-52.48768454418207,-19.078010405591975,33.4096741385901,-0.05688821841925193,-1.0919566819960345,-0.1711313970786529,-11.77783704615667,77.62722985004544,-0.6410374980760796,0.0
-33.910059317550626,425.17289280344767,-33.708970905739555,-53.031122699092265,-15.934515913130976,37.096606785961285,-0.02317160472553594,-1.5183829715168389,0.10213994383343189,18.99036505333863,62.31091664422913,-0.6080709200504567,0.0
-24.87662631328343,426.3202070700976,-24.68023267196715,-32.109366860449725,-5.185746641765909,26.923620218683816,-0.5596919565481632,-0.821009883055908,-0.04896272523016769,-53.54773703559436,66.44063934961699,-0.8299969121661358,1.0
-43.65147346372939,344.83156557601717,-46.5722581911257,-58.54104403146481,-29.83252696116339,28.70851707030142,0.4882261138171272,-0.9263820170833426,0.19512167982076495,8.406162542003758,63.08086985275232,-0.4254069677776419,0.0
-34.92679344977112,493.48348502125145,-35.162707376040565,-56.76287065007388,-13.949109592278642,42.81376105779523,0.0027368174552987318,-1.2957559097919193,-0.014466456793580044,-142.75649381999622,72.63540495622046,-0.6360299925686747,0.0
