Mean,Variance,Median,Lower Quartile,Upper Quartile,IQR,Skewness,Kurtosis,Peak_to_Avg,Min_Max_Ratio,Power_Range,Coefficient_Var,Label
-35.00908628283077,495.19667908085484,-32.27897014903052,-52.26975175680829,-18.763188133563094,33.5065636232452,-0.03777922642405731,-0.7076380829469904,-0.2218447784072649,-10.20514871523414,87.02571739786343,-0.6356354140821596,0.0
-30.7261057006826,438.047260958553,-29.071267690554002,-47.81059312667907,-13.907592853910055,33.90300027276902,-0.2041089553613113,-1.200200675367418,-0.022839525938382937,-95.60006507999992,67.79099755447103,-0.6811660032002687,0.0
-24.38895856218877,383.4915262499813,-15.033792094732465,-42.22705109830521,-12.270349239418167,29.956701858887044,-0.22029461125490887,-1.2630367170219086,-0.24021990726484904,-10.149265547708685,65.32035106495452,-0.8029428408553861,1.0
-31.235282044081952,379.8391383108078,-29.065263801443884,-46.48853144080323,-17.31243993638812,29.17609150441511,0.2961768558370156,-0.5846828563247102,-0.41486708835518915,-4.795446524545428,75.10023882212023,-0.6239566593365936,0.0
-26.935102080728164,443.8323840672755,-34.73869879525421,-46.21795750766417,-5.235287303234411,40.98267020442975,0.22304653562580048,-1.5539374363398204,-0.2090097668483819,-10.067313885996851,62.305650410016725,-0.7821514734611529,1.0
-22.68147767807493,273.4715615839144,-22.980237086629074,-30.589183268349338,-13.324233800332227,17.26494946801711,-0.3084852493423003,0.1816810411094325,-0.40971146925804125,-6.745742192171183,71.98010975103473,-0.7290960413760539,1.0
-17.615987799998607,399.7265809949683,-12.890658565795707,-33.735574534087036,1.3511501854157695,35.086724719502804,-0.4700696923069575,-1.1512485055461483,-0.3584822655538084,-8.65940597096961,60.9993343272811,-1.1349442099691327,1.0
-33.97739677626079,456.67633267358906,-29.762890290940874,-48.41837996146922,-20.400854437639953,28.017525523829267,-0.2559120479020958,-0.8645635182392528,-0.022944460026289037,-97.91152842675926,77.11073737930633,-0.6289471458593684,0.0
-26.080170102411312,191.66943305764423,-26.001121670641663,-34.86081251751631,-19.856269863851963,15.004542653664345,-0.07502777086356693,-0.421040778088416,0.11607366787587196,18.744565455193307,53.71672122613139,-0.5308428955981904,1.0
-32.02250007707523,446.2381259690768,-30.236130607703075,-46.62743059038381,-14.51235783318893,32.11507275719488,-0.45763376105666365,-0.5409027463336682,-0.02626575108123488,-97.53949163906015,82.88107530857656,-0.6596720766510242,0.0
-36.55124422901372,436.3780133119467,-33.19486737070363,-52.80900345015168,-20.226334002458756,32.58266944769292,-0.3583837712407817,-0.9008168443502766,0.1289088165144592,16.383927410637206,72.48564512072998,-0.5715171473513238,0.0
-38.0371080582217,350.01703800628076,-40.50505494641432,-52.863166007169454,-26.51432429819826,26.348841708971193,0.307554175689768,-0.8381637639144031,0.08908856246757173,20.57452254093477,66.33162229969538,-0.49185501325738257,0.0
-27.86324344601536,494.6309999437893,-32.157917420654044,-45.76430941647541,-6.016741597714709,39.7475678187607,-0.010253980780378015,-1.260014225916438,-0.18995632662830172,-12.33728379675775,70.5915673173851,-0.7981949875598225,1.0
-36.45761827935683,254.2463633019328,-38.493744215987604,-50.908626739793824,-25.83291716403346,25.075709575760364,0.47280451055364325,-0.5244251168411496,0.032954597674062155,50.96623308777959,60.031737995842576,-0.4373600205943136,1.0
-24.97077633160293,421.6932568473923,-26.842046852237146,-40.28154198835841,-2.5252894370807812,37.75625255127763,-0.07117052594751003,-1.4113863857987652,-0.06179945037154368,-38.33144844450609,60.69551455103009,-0.8223681531892117,1.0
-26.67614304018382,391.4285445412846,-25.495317465426442,-37.019499241678304,-10.72543182598079,26.294067415697512,-0.23248881697811594,-0.6220520450073388,-0.38645848785914416,-6.448057487160104,76.78367736856086,-0.7416571859919898,1.0
