Mean,Variance,Median,Lower Quartile,Upper Quartile,IQR,Skewness,Kurtosis,Peak_to_Avg,Min_Max_Ratio,Power_Range,Coefficient_Var,Label
-27.127347554971685,358.60642791920736,-32.14070838598579,-40.740888473201665,-10.295052626452788,30.445835846748878,0.26255718322808547,-0.9160793572480301,-0.4938142871517865,-4.332211488974641,71.4296214912446,-0.6980743865618932,1.0
-34.04146795779282,502.63559953563527,-28.94724491725858,-47.65146553077427,-16.984432755145036,30.66703277562923,-0.4489669088120488,-0.7767515294415874,0.00018872335676740505,12153.655591384308,78.07376366183726,-0.6585948685046399,0.0
-31.87347258701332,312.63785187083215,-32.79139534832369,-43.59060136882319,-15.249821692624739,28.340779676198448,-0.0428225900621387,-1.1565641900932502,0.0542159823741327,35.0879562142994,58.90574822693458,-0.5547424458147334,0.0
-22.512174372505008,456.0667877842067,-16.744290937534302,-38.28477857702991,-11.95559916410096,26.32917941292895,-0.5870333015761682,-0.18076074346633364,-0.6488210553947643,-4.685922241351736,83.05069960291942,-0.9486298349421279,1.0
-36.575559216524276,384.6134975024273,-36.774633056228225,-50.66475099469007,-23.04799986077405,27.61675113391602,-0.07688636152191085,-0.6658534547865687,0.030931164339884416,67.64563347024522,75.39784681644048,-0.5361931798659646,0.0
-35.18048424586645,407.68293065527763,-31.878150187222094,-49.00735625373474,-25.762123421834293,23.24523283190045,0.10200140045411592,-0.5922193428823452,-0.20044450698797656,-10.441877582386187,80.68508655769101,-0.5739306933471594,0.0
-25.41348569115916,531.5017480229599,-22.07055433369076,-45.77993195384887,-5.2727865342298825,40.50714541961899,-0.33785226003545193,-1.3104243202869454,-0.15520838413770943,-17.123281633896323,71.48521924809187,-0.9071688141504962,1.0
-35.93022458298829,390.441272656902,-35.37354090437293,-49.74384197527907,-22.333545756617035,27.410296218662033,-0.21901225757804135,-0.8152714986998291,0.1942585895007167,11.072333307493931,70.30241622446454,-0.5499433160743084,0.0
-22.968256918637227,532.2207777645119,-22.99604351015524,-34.80319540645395,-7.531896482562988,27.271298923890964,-0.07075877712585414,-0.7870528386825693,-0.8585107457674183,-3.09573922943968,80.76181505777258,-1.0044258360460483,1.0
-31.911939552206917,305.7970697079267,-29.72095325472431,-40.77461003791268,-18.46956756395413,22.30504247395855,-0.4140562661010402,-0.8038219079426487,0.15264788027626042,14.12759848905538,63.948338298900325,-0.5479784241153501,0.0
-36.28486321230296,418.37794291734656,-38.728156181309885,-51.31053779556616,-15.71993753612088,35.59060025944528,-0.035008390767642325,-1.143694999202421,0.12915579738769117,14.85963468478446,64.95179810120342,-0.5637141027229075,0.0
-39.39481757634728,564.8522748210254,-39.16703131436317,-62.05323670421463,-18.857770752043972,43.195465952170665,-0.05603499807345638,-1.3539729370728646,0.04479595592269721,42.84358282450906,73.84256363899014,-0.6032930848422365,0.0
-23.341006144826192,327.5461782786964,-22.36160885706421,-32.03740393022004,-10.435086070861917,21.60231785935812,-0.28954738068539004,-0.7586415322844404,-0.3161655822204834,-7.920518344512371,65.83006054021683,-0.7753837504233545,1.0
-32.47611517017794,286.39897726674275,-31.78276458459814,-43.01751297263652,-17.204901067071216,25.8126119055653,-0.2017110331010587,-0.7351763454117362,0.0999782627604025,20.71582125988606,64.01540998031999,-0.52110070233988,0.0
-25.720473332806403,386.672041076107,-21.484625702771154,-37.314272714870114,-10.64404296194724,26.67022975292287,-0.8382020279190674,-0.19547138386996554,-0.004203819890905156,-664.0720437502798,71.91040761265093,-0.7645262980709728,0.0
-38.06832490772636,289.4020319958996,-42.23066385553143,-50.129078760978146,-29.85040350996773,20.278675251010416,0.6660127490306332,-0.402879541263788,-0.03951177980765815,-42.474039961311874,65.39135858863797,-0.446875989482278,0.0
-24.502338158400182,381.93792321536364,-21.506608283469347,-41.71415769044342,-8.011010403357247,33.703147287086175,-0.4603128403799316,-0.4719018945767717,-0.2871542638593203,-9.982526257910692,77.27251525349318,-0.7976068256264136,1.0
-32.04624351598927,337.77915984199865,-34.658281920711886,-47.90499068306941,-16.334308272141357,31.57068241092805,0.18343180514988727,-1.2628798634712075,0.05934448009710063,31.311838389285082,57.64607397638436,-0.5735077579328873,0.0
-22.987469423814183,260.1408824300535,-22.100109587107287,-31.98696588517213,-10.378377982912195,21.608587902259934,-0.28648091976012174,-0.8284906586549234,-0.08138164423609631,-28.69999533105164,55.56150560670407,-0.7016380614318074,1.0
-36.39349678832195,404.8319730488682,-28.591969532919443,-52.19980640520681,-22.51373181908167,29.686074586125137,-0.47873713739531687,-0.7246267618147888,0.040224636157441686,53.260267696993644,76.50459849750095,-0.5528580234630852,0.0
-21.348861275265023,338.8035757049284,-14.488806453616661,-39.48164544773931,-7.7316243121869626,31.75002113555235,-0.5664982607036032,-1.125323502906457,-0.12130847505519693,-22.332667795893606,60.42689185545413,-0.8621826465460738,1.0
-26.344343808447775,232.91987498984798,-22.441249874420784,-34.583481209021635,-16.459190125589576,18.12429108343206,-0.6297227174917123,0.061520385147518564,-0.07097143300954296,-34.29587951965079,65.9925588201364,-0.5793164872828943,1.0
-36.64835177548783,419.6402135309122,-28.867232519715756,-54.539388112747254,-19.37535301738477,35.16403509536248,-0.4354148600931465,-1.1756102002040547,0.1929523554311468,10.578953260053648,67.73647403920815,-0.5589643399454114,0.0
-36.32548335846994,258.39159825606,-37.66573312097867,-46.66484291512687,-26.4194085232768,20.24543439185007,-0.1136431638244693,-0.37670450107756137,0.2996861238395,6.724206845473986,62.31510844310321,-0.4425147917471435,0.0
-40.04352239600885,331.026971548565,-41.05449725583238,-48.746280492467974,-33.98912473978337,14.757155752684604,0.5616608633238199,0.6591530703423398,-0.1915363118928223,-9.562478860082798,81.01197989599741,-0.454359295590137,0.0
-29.203394426174754,508.27412845180044,-22.79425646521345,-53.101310086698035,-14.23031086673489,38.870999219963146,-0.20774301609602824,-1.2811913712525114,-0.15371861713287355,-14.880096669333227,71.28742781969628,-0.7719970984098887,1.0
-34.93027457841794,419.1114490098497,-35.5164363138591,-48.230931483752485,-20.107576952158837,28.123354531593648,0.2496449855098311,-0.6301610781317613,-0.24453279068113729,-8.295403413096228,79.39759475914168,-0.5860879101813311,0.0
-33.524507789605096,364.77679179777317,-30.81790050625628,-44.14274968963508,-22.46889549136628,21.673854198268803,-0.23297980171228802,-0.8750604418101227,0.0624042980820622,32.830826746881094,66.59242520656302,-0.569706519644387,0.0
-25.195516208710465,275.1716168511813,-25.840324383938707,-39.19823170548632,-14.145906613171993,25.052325092314327,0.41622799051186754,-0.539630283700653,-0.4902062392742694,-4.036838553430949,62.209989182081344,-0.6583829221892531,1.0
-30.31048557980771,408.0713591250146,-25.654837932251855,-47.185050603567895,-12.628252145949162,34.55679845761873,-0.32387136976385356,-1.0019250490563039,0.021462888084546796,111.69798686006206,72.0146373077755,-0.6664616489871303,0.0
-29.79513648505221,422.28241533707006,-33.42284920203892,-44.77592138728485,-15.180222699246322,29.59569868803853,0.146735314180938,-1.0994854092987527,-0.14264301324787648,-14.689956260227932,66.68338178299946,-0.6896934782170803,1.0
-22.721737759533074,257.31965471063666,-27.67243187419559,-33.22070604039641,-15.883215550261875,17.337490490134535,1.0963046050045546,0.4846156932481138,-0.8360491210295019,-2.296920539730609,62.6299143781812,-0.7059841271857051,1.0
-25.176286107726735,399.12371034347353,-22.428009484963752,-36.8887362104294,-8.816643351682263,28.072092858747137,-0.32163951369302085,-0.8026556647534759,-0.23897453300440777,-10.493091871190964,69.14808628134297,-0.7935277134141631,1.0
-30.29060636181365,268.2352769056271,-24.8223894354917,-43.012955423246694,-19.754983754601454,23.25797166864524,-0.5583985559692058,-0.7388031859791568,0.11479328921523002,18.70763478618616,61.57224991611689,-0.540692044389689,0.0
-30.534631820995706,488.45083041459736,-33.77966867542956,-52.604943717172034,-9.061038264426832,43.5439054527452,0.21630395052716925,-1.407034686441876,-0.3057907950449323,-6.217773089724868,67.39385831461286,-0.7237985994187192,1.0
-29.36635877518258,444.5032887691126,-35.43822219672272,-43.418615612164686,-14.615667594105737,28.80294801805895,0.0695099717379854,-1.0477190975510335,-0.15045506920095228,-15.167579842691334,71.43350162707337,-0.7179387406785547,1.0
-38.083737333313046,360.9358136936908,-36.79199147714738,-53.65341341932841,-22.358453642528026,31.294959776800383,-0.1540664276810929,-1.2647777949556755,0.15045152237379716,11.946198610776996,62.719050006259806,-0.4988562610166724,0.0
-30.126786450097136,376.1306807243599,-29.57162098816641,-46.11672514890112,-15.651391081344482,30.465334067556636,-0.13953332328936852,-1.0307069419625772,-0.06733886310740111,-32.176962941651944,67.30622245545635,-0.6437490052584377,1.0
