Mean,Variance,Median,Lower Quartile,Upper Quartile,Label,Matrix_ID
-27.815179831175534,390.1955544228137,-20.421654706917806,-47.550972460728694,-12.938379327674012,0.0,0.0
-30.407076568960814,517.946895864572,-33.18928871807616,-43.72173364465968,-10.46927425490245,0.0,0.0
-30.98206855962339,613.1716663334018,-24.606152829936406,-52.184840789957505,-11.238366503960645,0.0,0.0
-30.767511274368854,613.8531082294959,-27.002420803575035,-46.669349449512,-15.109662710583251,0.0,0.0
-33.96004284199419,548.088336220392,-30.71232569667237,-50.691878284337335,-22.304432211796136,0.0,0.0
-29.922893675157308,383.505500728783,-21.695104879959835,-48.63451713521919,-17.149905386429367,0.0,0.0
-38.4780752202082,488.26820015422857,-39.919496331931015,-51.87988713761089,-30.2392089964129,0.0,0.0
-29.934403567129202,233.8170626224149,-27.81083354764329,-39.73776469963952,-18.69386538619701,0.0,0.0
-34.96902891606358,559.5366556654557,-31.920406035535045,-53.438852179496735,-17.35714419409499,0.0,0.0
-33.21281693256286,602.2575317200319,-31.976276255035792,-53.0215549172174,-9.768256200971756,0.0,0.0
-22.67090102999011,210.55242104410553,-20.92194377757791,-33.07174247125842,-12.647927251500374,0.0,0.0
-39.0864877437503,584.643860038719,-43.7650841981418,-55.698783742668915,-11.899811816874854,0.0,0.0
-39.52110894131512,769.6614666815776,-33.78874205929184,-66.4682467505498,-17.480361636253996,0.0,0.0
-27.102627055763662,556.8831760438028,-17.81019277961837,-40.680681418138754,-9.416330495844463,0.0,0.0
-27.33051017307067,472.73131749060803,-25.483195311464954,-42.0854890874762,-8.477802993598239,0.0,0.0
-31.112256232081243,443.70096303933644,-33.458261026568344,-46.29200437934669,-13.253502022429078,0.0,0.0
-37.23083402508396,431.2097498642497,-40.91928706404332,-51.28933537519526,-18.220306648473326,0.0,0.0
-26.912447824162093,544.4294744439367,-20.583678404476977,-45.62655618395488,-10.313166589121181,0.0,0.0
-34.580790367845864,480.8861894557707,-35.54893955633561,-45.16345293948973,-19.109572323814408,0.0,0.0
-32.11985782862869,466.3936922555952,-29.342312211281104,-51.75896981771402,-12.098037782204175,0.0,0.0
-34.09469945188583,454.6446680200206,-30.056571403649407,-47.863369925426284,-23.02167135182355,0.0,0.0
-33.450087860309836,545.9963096758554,-29.566500698574778,-53.65745339082914,-15.685674712608687,0.0,0.0
-30.050462376367864,322.48940094750805,-31.70346376018461,-44.02322898329171,-14.973323396305169,0.0,0.0
-44.16832283530707,643.7149825186434,-44.03166383693922,-68.3017066287861,-19.805897268883193,0.0,0.0
-36.87407574355671,504.2508687014095,-34.84228643236286,-47.83821503919251,-18.7069002720675,0.0,0.0
-40.827719038262,480.00671652719404,-42.109539501792696,-61.21292605521339,-21.85130960174606,0.0,0.0
-31.688766051539336,530.0585433837048,-33.060472254397396,-43.37983510372966,-11.037327774056125,0.0,0.0
-30.090276451272292,280.92069575874774,-25.589021652648334,-40.530220890052796,-19.42552506785641,0.0,0.0
-42.881555270832315,442.7698557771083,-42.602506277078014,-57.27607463936163,-28.358874200256984,0.0,0.0
-35.92508641649561,394.12554526171505,-35.03126345708483,-51.557462714723854,-21.687864463412414,0.0,0.0
-28.203910765154472,348.2034972770768,-26.078615875231314,-37.63639817585595,-11.9839850370284,0.0,0.0
-35.078967476172586,484.5186803033037,-33.28917599055478,-52.780697321763896,-18.820252025594776,0.0,0.0
-33.21783616546672,492.7770135221328,-26.521000592836053,-50.74581413119095,-15.988822781640204,0.0,0.0
-32.159119516369955,369.7814007402052,-26.250280496176735,-44.56825067714296,-16.318291500704884,0.0,0.0
-31.48031076072197,388.26678989726327,-28.851166094364572,-46.618568642543124,-14.844295443626866,0.0,0.0
-37.26762283675519,475.5712188284639,-34.83047278888729,-55.483906689268636,-19.222395449649994,0.0,0.0
-40.67655606604505,446.93268783612666,-44.0600560907706,-56.46913985111339,-24.585785003943634,0.0,0.0
-38.02188387442718,462.7510206968139,-41.286332627471445,-59.085558721235614,-21.074986856032826,0.0,0.0
-32.969197790356404,542.2736453074536,-32.14391765169716,-47.5600478775488,-13.41306673884448,0.0,0.0
-44.359923719019676,613.2597209422335,-49.78114288580598,-61.92990822455517,-21.189226548109453,0.0,0.0
-35.02277950396621,395.41512575526355,-33.322634248157385,-50.751351408513,-19.943612072876412,0.0,0.0
-39.203662364389686,401.39532171179326,-35.820466819081894,-47.25461168017468,-25.68057324665838,0.0,0.0
-44.514064542879716,301.6531297677217,-43.10372405492616,-54.17535668250276,-33.56593437109487,0.0,0.0
-29.30233483285083,539.2855141286752,-23.330135843498482,-40.87974529165386,-12.952141678532744,0.0,0.0
-32.29077870905747,347.6609651376237,-33.466974292316735,-46.8742268530209,-17.41238202833233,0.0,0.0
-32.12137196985422,395.7986392988455,-29.272934599247364,-45.86747773659235,-18.553077047925868,0.0,0.0
-25.43974521824336,334.1382993899229,-14.887618558061469,-38.817075260889894,-13.150492359952686,0.0,0.0
-37.163567854883304,524.985908197348,-34.941153401024174,-53.872042128776336,-22.293741545626887,0.0,0.0
-33.616786936109925,477.7443175639255,-33.77922629977884,-48.740997022721146,-16.533908332347046,0.0,0.0
-36.83678522769138,589.7079734283125,-37.36799505942975,-56.17564851566198,-20.155543422224724,0.0,0.0
-34.833776395105026,488.0303263746638,-27.077111293517348,-50.061947657009625,-19.695674815293764,0.0,0.0
-33.37924495624524,338.7282175041806,-36.75798546012892,-49.32599755212075,-17.187920067004093,0.0,0.0
-35.57522363582389,574.111576227246,-36.51389803322027,-51.47223247536988,-18.43506998450368,0.0,0.0
-43.747675609226334,306.3636833328192,-41.80399485756061,-50.336114851058085,-33.8538687474138,0.0,0.0
-29.372645760464472,354.2809194357761,-24.093479624810524,-39.96357601768524,-19.238082654124558,0.0,0.0
-32.350089749439995,355.5544729396962,-28.74942574264378,-40.1141878863934,-17.014008269066178,0.0,0.0
-36.682495937278055,711.1290834159264,-32.50421126239242,-66.71729787466188,-15.980301966300303,0.0,0.0
-35.901284646312064,444.65769587316134,-31.485157155624407,-45.836840065077396,-18.89587143778988,0.0,0.0
-32.91867340770915,383.04586776114365,-30.57962244967439,-44.298674643965185,-17.605281525221123,0.0,0.0
-33.13083787142293,308.448395969471,-27.416769803679053,-45.858622701237245,-20.610693184708555,0.0,0.0
-36.58082568460435,331.531413638934,-38.82142228472216,-50.517069707931356,-22.746960682534464,0.0,0.0
-33.79053252488382,517.5169542722252,-35.088895857486825,-46.563844495102494,-16.73436644636333,0.0,0.0
-35.87813083165253,317.43458202718386,-36.432743246241145,-49.18963697453315,-24.56794044854509,0.0,0.0
-34.0827910535226,350.29688168061887,-33.555415801902214,-43.40936094379964,-23.18274447093906,0.0,0.0
-42.97337901194679,367.3597509942278,-44.34228296073888,-59.46383314438344,-32.815116903614324,0.0,0.0
-30.548656434179662,537.7649904170117,-25.264772777412983,-45.262608913691366,-11.990504829704662,0.0,0.0
-33.147633462035444,593.8078259572109,-30.1201162359354,-44.01912920247909,-14.835481746459507,0.0,0.0
-31.222703874811554,338.7966429578987,-31.003689599337743,-46.45147416715163,-15.247368048516904,0.0,0.0
-37.66771689167537,506.3874612403283,-38.386171157639076,-52.486598545076326,-20.762025707883375,0.0,0.0
-28.669557078511787,309.31306878436686,-26.52960484423257,-41.19510232159244,-15.354844918841856,0.0,0.0
-35.95831059306537,386.8193158053722,-40.466583933102434,-50.19764906830528,-23.366078428767572,0.0,0.0
-38.74854987465931,311.5851969564487,-38.45739196327078,-51.06018979279132,-22.825243546963875,0.0,0.0
-30.00977728859818,421.251759132382,-22.424894291793017,-43.99145779329514,-16.49348915996383,0.0,0.0
-37.72463440705398,546.9076145340546,-38.53983474582827,-51.03951972659726,-20.883673912848725,0.0,0.0
-37.60930778631604,474.708763137531,-34.932989526167205,-59.28502280907818,-21.128074940423776,0.0,0.0
-34.678752168174114,599.686684821394,-33.256745510404286,-57.36532869300049,-14.527568312440806,0.0,0.0
-39.654615929377634,556.3363125250764,-40.85689743829923,-58.74775826380622,-20.70827667899999,0.0,0.0
-38.09648096596411,425.90887636454863,-41.16767274193768,-52.32677973531825,-20.707424753834516,0.0,0.0
-37.575408324601334,532.9031370806358,-35.035606701100306,-56.34424901913793,-17.812921795592757,0.0,0.0
-33.52504054574915,460.3087739200999,-28.984082956917078,-45.8188280144348,-13.10962519433133,0.0,0.0
-31.965813939135614,423.1577640180934,-31.543467810267767,-45.07820982178445,-13.919831988801587,0.0,0.0
-29.38119687003668,330.7911794616956,-27.477825786299356,-46.05709129694998,-18.842400084302938,0.0,0.0
-33.43594679182035,703.6089429047447,-27.12128811925193,-53.29928245122899,-12.88802138818195,0.0,0.0
-35.38849326575283,479.7231310509543,-29.04108903106708,-56.15074806493175,-18.899928851144377,0.0,0.0
-30.600429145104584,344.0138728650396,-23.901426575005296,-38.30339881090009,-16.75785517281693,0.0,0.0
-38.67952901505841,485.7647416916983,-36.54859669805424,-52.33961615964171,-24.728843862339453,0.0,0.0
-25.43114613563963,385.0548137590298,-19.670063405579043,-37.855208621820964,-11.951442069325651,0.0,0.0
-29.784534422480323,521.7115115421997,-26.848340423213717,-47.55423222880904,-13.410949661876913,0.0,0.0
-28.175943371707127,365.8947234952038,-29.167889364146397,-40.66374916532476,-13.712209158477,0.0,0.0
-26.470722218469824,307.52313317289133,-23.08259021248027,-39.00630321084983,-12.091848556788904,0.0,0.0
-32.09496119032301,360.1232331070653,-28.37581762731216,-44.955310758660836,-20.05992692062167,0.0,0.0
-31.953156920349265,253.50016077424615,-28.899874384442057,-43.53417276499604,-19.59397287870343,0.0,0.0
-34.296700536759644,391.60057144981954,-30.223934729669573,-51.422859865706286,-16.67975005185803,0.0,0.0
-30.14063714854775,351.38130581051104,-28.334375596188877,-35.89809740733125,-14.439116359628477,0.0,0.0
-35.57365397014508,298.3284185099478,-33.35736812440884,-52.58330952842644,-22.562954857579683,0.0,0.0
-30.1250298396996,635.6544006698654,-28.727948433264707,-47.71440377480967,-7.982689229182454,0.0,0.0
-32.416770625224444,389.8902156086909,-37.00408146106184,-47.51571740426498,-11.396598113652935,0.0,0.0
-43.95997965597742,539.8578034708706,-48.83710998972567,-59.86245725367978,-31.9573920871267,0.0,0.0
-30.708105699791084,506.035387333471,-29.535495378606775,-47.4250447375957,-10.712336720275644,0.0,0.0
-36.511453333691115,393.57716865581705,-36.806929977605314,-49.034433875600435,-19.758119864542408,0.0,0.0
-34.70063421817536,462.9761404564682,-31.667160464026445,-45.79679075493173,-17.734516146653462,0.0,0.0
-38.310595031708694,430.53869514333553,-38.89773276549151,-48.88196506026976,-24.668746440282163,0.0,0.0
-32.52501984098454,444.1358785227027,-34.26562722446863,-44.88229251253648,-17.40625235935634,0.0,0.0
-35.54084125530034,315.13720824629723,-35.99668147007934,-46.868429465673174,-21.0411508958987,0.0,0.0
-37.34315158734951,511.4560238994268,-39.454925614096396,-49.978317523659804,-15.29648142773652,0.0,0.0
-28.181463367875256,520.3935649713627,-25.9495196549934,-45.07108945577872,-5.593879715996838,0.0,0.0
-30.744856116008076,313.1925891658179,-29.45784456337463,-44.63561381230798,-20.904684686628674,0.0,0.0
-39.26606417390592,502.03592786833786,-41.01774083530118,-56.75201589242666,-19.313571610504372,0.0,0.0
-35.83029646952256,459.4929541476905,-26.740185208785643,-53.93460013255225,-20.854601211594947,0.0,0.0
-34.865906883770855,625.6680025162801,-35.386652412630106,-56.73149116116471,-14.501607566206246,0.0,0.0
-31.667986929052507,487.7171405197387,-29.047497022559917,-43.829857879566504,-14.072510568756686,0.0,0.0
-35.92789841957075,681.9176497454021,-27.1953632713912,-49.3299225471945,-16.715807818390783,0.0,0.0
-38.600874803960195,627.8998747693512,-39.49172268995545,-60.60098094139146,-15.65292842905141,0.0,0.0
-34.693228601584195,487.5678800741533,-40.69229518036142,-45.4953599793289,-18.933235292649158,0.0,0.0
-37.648749949073725,462.967529984185,-41.47252969094019,-55.65236798453452,-23.78804107051537,0.0,0.0
-36.186856073379275,659.6251723572435,-41.25590081107147,-55.4654884817623,-9.125507289829805,0.0,0.0
-28.59441126777361,438.0675607718025,-28.776834835977606,-46.69735016157985,-7.093008375228644,0.0,0.0
-34.71682132477885,409.8662990211257,-32.80374995784281,-51.112927648750166,-21.398341453144088,0.0,0.0
-27.341177692387326,366.71934658712473,-24.51049271478916,-36.2628803091622,-13.59823803784245,0.0,0.0
-38.96544694416248,823.6788576035931,-41.996190667131145,-68.88645924725483,-11.072455805405122,0.0,0.0
-34.946963048465186,444.0385338745661,-34.89168931278742,-43.185755487444744,-18.95490581999837,0.0,0.0
-35.27749748776212,519.8173146405575,-34.311634578220236,-46.65934886393396,-22.7715695948558,0.0,0.0
