Mean,Variance,Median,Lower Quartile,Upper Quartile,Label
-32.65587265276748,376.4134704758455,-31.886427512968968,-42.190942648602345,-17.777054905537213,0.0
-41.46893300522669,532.3480480047572,-40.36771150875631,-61.53607098919664,-26.987117882786492,1.0
-39.34490928477602,462.7766743358337,-36.73473808911247,-50.71124766745554,-26.877106890406743,0.0
-34.6038044804673,442.2374829552781,-29.726476457390667,-52.58676657392555,-16.302929956529844,1.0
-34.96902891606358,559.5366556654557,-31.920406035535045,-53.438852179496735,-17.35714419409499,0.0
-35.077959187907844,509.4923690272297,-29.19046302419136,-51.52757458969135,-16.175656576193646,1.0
-38.32906534221159,563.966616983522,-29.632788851772034,-61.00807888491481,-20.955827150330826,1.0
-38.74854987465931,311.5851969564487,-38.45739196327078,-51.06018979279132,-22.825243546963875,0.0
-30.57961437285951,636.7512890997831,-20.612583422956483,-52.22953626196443,-9.456734713658285,0.0
-43.14414561559122,296.57740567535893,-46.064680223623355,-56.64038461892598,-28.95152190461344,1.0
-34.13523762246326,439.02671371763506,-27.5856368484351,-53.393525657531384,-16.354951899075665,0.0
-32.89424454815887,527.4608426028349,-27.118063820757783,-49.36545824949859,-17.922419952754414,0.0
-40.152818882946235,644.2426355324371,-35.67913358078296,-66.9483022731013,-16.459869115745818,1.0
-34.27429346397147,260.1047511583967,-35.526527138614114,-45.37828461095582,-21.40793972704827,0.0
-34.31262592745986,446.12405477247864,-34.37876679595746,-54.6938339411561,-14.506790084239041,1.0
-36.94451036055071,255.41382203687573,-36.76749531965657,-49.84163843490039,-22.243217184594847,1.0
-38.59579660575563,459.09584463017734,-41.12095618075767,-51.36779309598459,-25.820185034740152,1.0
-38.02188387442718,462.7510206968139,-41.286332627471445,-59.085558721235614,-21.074986856032826,0.0
-37.34315158734951,511.4560238994268,-39.454925614096396,-49.978317523659804,-15.29648142773652,0.0
-36.820927737327445,508.568405018906,-33.61870771898219,-61.35031867292432,-17.68563484002301,1.0
-38.310595031708694,430.53869514333553,-38.89773276549151,-48.88196506026976,-24.668746440282163,0.0
-30.615385277275273,439.53854371059407,-30.119955742869152,-45.6758563504811,-13.614150302235092,1.0
-37.63792496949779,476.69021563415953,-35.68339248133996,-54.94420090416794,-23.12136406842625,0.0
-38.10814477601015,411.7460465838038,-40.905887180483845,-53.64215500458186,-25.148886783571403,0.0
-42.787900585311775,442.17314304653456,-47.33431602396296,-58.493737604801474,-24.94589993118818,1.0
-30.00977728859818,421.251759132382,-22.424894291793017,-43.99145779329514,-16.49348915996383,0.0
-37.63575357797075,355.0990758379641,-31.079004589432248,-54.59144604727312,-22.572253580296078,1.0
-32.416808099722445,238.29901746254328,-32.323260237194475,-39.49943150239794,-21.512517282149588,1.0
-38.208324209231385,415.7037443885979,-41.8073647720959,-48.70017097677561,-18.064950560128416,1.0
