0.00,226.78,211.33,212.04,45.28,187.08,152.82,207.68,146.15,35.70
226.78,0.00,111.36,385.98,223.14,66.39,290.03,141.76,327.54,208.95
211.33,111.36,0.00,374.57,205.23,118.28,320.07,225.76,311.29,192.10
212.04,385.98,374.57,0.00,174.65,342.82,103.22,384.85,73.00,209.19
45.28,223.14,205.23,174.65,0.00,180.74,123.55,225.15,121.10,37.01
187.08,66.39,118.28,342.82,180.74,0.00,248.67,111.65,284.37,164.22
152.82,290.03,320.07,103.22,123.55,248.67,0.00,289.01,46.24,157.36
207.68,141.76,225.76,384.85,225.15,111.65,289.01,0.00,319.35,209.28
146.15,327.54,311.29,73.00,121.10,284.37,46.24,319.35,0.00,155.03
35.70,208.95,192.10,209.19,37.01,164.22,157.36,209.28,155.03,0.00
