0.00,168.75,230.09,67.57,90.91,82.85,62.25,100.56,62.43,234.68,155.73,64.33,233.31,62.58,209.34,37.83,149.14,75.26,141.93,118.18
168.75,0.00,118.28,115.19,86.92,180.74,191.77,112.29,143.97,95.53,284.37,187.08,356.54,172.44,66.39,177.09,313.51,151.44,248.67,67.06
230.09,118.28,0.00,197.79,165.46,205.23,288.87,182.79,243.83,212.26,311.29,211.33,453.59,270.42,111.36,243.81,375.69,219.08,320.07,127.07
67.57,115.19,197.79,0.00,48.70,137.44,111.33,60.98,99.93,180.37,210.48,119.81,273.95,103.93,154.42,94.47,200.24,124.42,185.08,80.73
90.91,86.92,165.46,48.70,0.00,168.48,145.86,37.07,133.52,148.95,241.34,149.13,319.91,146.59,121.87,121.22,233.46,158.55,224.73,48.49
82.85,180.74,205.23,137.44,168.48,0.00,101.67,176.56,56.37,244.57,121.10,45.28,263.32,79.33,223.14,84.88,186.48,48.35,123.55,171.46
62.25,191.77,288.87,111.33,145.86,101.67,0.00,145.71,62.92,255.36,161.09,100.04,184.90,30.63,229.65,53.28,126.69,83.35,142.80,161.89
100.56,112.29,182.79,60.98,37.07,176.56,145.71,0.00,149.57,182.79,249.32,149.01,330.38,160.84,153.31,121.42,233.98,174.20,240.85,73.86
62.43,143.97,243.83,99.93,133.52,56.37,62.92,149.57,0.00,209.13,149.83,66.72,227.74,43.71,183.39,56.58,171.20,40.84,115.40,140.34
234.68,95.53,212.26,180.37,148.95,244.57,255.36,182.79,209.13,0.00,352.18,254.56,382.47,237.27,110.74,253.83,379.79,221.20,314.28,145.39
155.73,284.37,311.29,210.48,241.34,121.10,161.09,249.32,149.83,352.18,0.00,146.15,143.15,144.20,327.54,149.56,66.34,148.02,46.24,255.93
64.33,187.08,211.33,119.81,149.13,45.28,100.04,149.01,66.72,254.56,146.15,0.00,270.02,86.69,226.78,68.52,188.24,77.36,152.82,152.82
233.31,356.54,453.59,273.95,319.91,263.32,184.90,330.38,227.74,382.47,143.15,270.02,0.00,184.37,385.47,219.06,101.53,247.42,140.66,334.75
62.58,172.44,270.42,103.93,146.59,79.33,30.63,160.84,43.71,237.27,144.20,86.69,184.37,0.00,211.91,56.89,143.83,66.26,114.10,156.35
209.34,66.39,111.36,154.42,121.87,223.14,229.65,153.31,183.39,110.74,327.54,226.78,385.47,211.91,0.00,224.60,354.45,202.10,290.03,116.17
37.83,177.09,243.81,94.47,121.22,84.88,53.28,121.42,56.58,253.83,149.56,68.52,219.06,56.89,224.60,0.00,136.57,60.45,131.96,121.13
149.14,313.51,375.69,200.24,233.46,186.48,126.69,233.98,171.20,379.79,66.34,188.24,101.53,143.83,354.45,136.57,0.00,177.42,68.63,257.69
75.26,151.44,219.08,124.42,158.55,48.35,83.35,174.20,40.84,221.20,148.02,77.36,247.42,66.26,202.10,60.45,177.42,0.00,114.30,144.01
141.93,248.67,320.07,185.08,224.73,123.55,142.80,240.85,115.40,314.28,46.24,152.82,140.66,114.10,290.03,131.96,68.63,114.30,0.00,224.32
118.18,67.06,127.07,80.73,48.49,171.46,161.89,73.86,140.34,145.39,255.93,152.82,334.75,156.35,116.17,121.13,257.69,144.01,224.32,0.00
