0.00,121.10,180.74,82.85,45.28,223.14,205.23,176.56,123.55,48.35,56.37,244.57
121.10,0.00,284.37,155.73,146.15,327.54,311.29,249.32,46.24,148.02,149.83,352.18
180.74,284.37,0.00,168.75,187.08,66.39,118.28,112.29,248.67,151.44,143.97,95.53
82.85,155.73,168.75,0.00,64.33,209.34,230.09,100.56,141.93,75.26,62.43,234.68
45.28,146.15,187.08,64.33,0.00,226.78,211.33,149.01,152.82,77.36,66.72,254.56
223.14,327.54,66.39,209.34,226.78,0.00,111.36,153.31,290.03,202.10,183.39,110.74
205.23,311.29,118.28,230.09,211.33,111.36,0.00,182.79,320.07,219.08,243.83,212.26
176.56,249.32,112.29,100.56,149.01,153.31,182.79,0.00,240.85,174.20,149.57,182.79
123.55,46.24,248.67,141.93,152.82,290.03,320.07,240.85,0.00,114.30,115.40,314.28
48.35,148.02,151.44,75.26,77.36,202.10,219.08,174.20,114.30,0.00,40.84,221.20
56.37,149.83,143.97,62.43,66.72,183.39,243.83,149.57,115.40,40.84,0.00,209.13
244.57,352.18,95.53,234.68,254.56,110.74,212.26,182.79,314.28,221.20,209.13,0.00
