0.00,155.73,209.34,64.33,82.85,168.75,141.93,100.56,62.43,75.26,62.58,234.68,230.09,233.31
155.73,0.00,327.54,146.15,121.10,284.37,46.24,249.32,149.83,148.02,144.20,352.18,311.29,143.15
209.34,327.54,0.00,226.78,223.14,66.39,290.03,153.31,183.39,202.10,211.91,110.74,111.36,385.47
64.33,146.15,226.78,0.00,45.28,187.08,152.82,149.01,66.72,77.36,86.69,254.56,211.33,270.02
82.85,121.10,223.14,45.28,0.00,180.74,123.55,176.56,56.37,48.35,79.33,244.57,205.23,263.32
168.75,284.37,66.39,187.08,180.74,0.00,248.67,112.29,143.97,151.44,172.44,95.53,118.28,356.54
141.93,46.24,290.03,152.82,123.55,248.67,0.00,240.85,115.40,114.30,114.10,314.28,320.07,140.66
100.56,249.32,153.31,149.01,176.56,112.29,240.85,0.00,149.57,174.20,160.84,182.79,182.79,330.38
62.43,149.83,183.39,66.72,56.37,143.97,115.40,149.57,0.00,40.84,43.71,209.13,243.83,227.74
75.26,148.02,202.10,77.36,48.35,151.44,114.30,174.20,40.84,0.00,66.26,221.20,219.08,247.42
62.58,144.20,211.91,86.69,79.33,172.44,114.10,160.84,43.71,66.26,0.00,237.27,270.42,184.37
234.68,352.18,110.74,254.56,244.57,95.53,314.28,182.79,209.13,221.20,237.27,0.00,212.26,382.47
230.09,311.29,111.36,211.33,205.23,118.28,320.07,182.79,243.83,219.08,270.42,212.26,0.00,453.59
233.31,143.15,385.47,270.02,263.32,356.54,140.66,330.38,227.74,247.42,184.37,382.47,453.59,0.00
