mean,variance,median,percentile_75,percentile_25,label
0.11144084677225334,0.0027960418486715453,0.11046895827041814,0.1334349194771734,0.06680933022450775,1
0.1222621621924405,0.003734368084466873,0.11896021534472315,0.14715599393900597,0.07880431366735581,1
0.11688806008580696,0.001651237744428493,0.11040288517419962,0.13383006258877334,0.0884260923416824,1
0.12109459359341031,0.0047678027701576475,0.09816274473526801,0.1505253660390912,0.07449920655390657,1
0.11538224877243526,0.002986897263351513,0.09295907187914426,0.14127326008227417,0.08171777026295773,1
0.1028236454898721,0.0024904669186447096,0.0844224397043169,0.12528271186825393,0.06758222687672384,1
0.11353636261451563,0.002343230016953353,0.10228246588398937,0.13937816343130313,0.0834431743955964,1
0.108041299758982,0.002107920517004096,0.10137389749217046,0.1196928142008058,0.07492792987384017,1
0.10676762252378899,0.0018133172648707684,0.09742737719438896,0.12652928956242956,0.07441456681010207,1
0.10860681468825302,0.002358948319704258,0.10477798890289922,0.1370950483461423,0.07119745933001795,1
0.12528377231792748,0.008416453837826255,0.11064393181514515,0.14287178250305707,0.0698781636159462,1
0.10843477731997561,0.003186276675968798,0.0913100569161597,0.13360665416644746,0.07522091257789741,1
0.12813104715493612,0.0048448894536488405,0.11166427977458566,0.14563352475101185,0.08032779879376302,1
0.0907444482079115,0.0012918570612732985,0.07829713981744688,0.1203017088506155,0.06482526779717986,1
0.10190279265761151,0.0017477846629231132,0.09836358663870891,0.12816604626076727,0.061940543416917654,1
0.11830401834885995,0.0026764004140591925,0.10082714273643083,0.15143934489328487,0.07892704612873196,1
0.11406489837918951,0.003581711614829669,0.1032147179969778,0.1380587914656702,0.07417770363183177,1
0.1218236901925821,0.0030198810407754415,0.10866667086510975,0.13753524488156255,0.0859660184432301,1
0.12572610215698687,0.0028683528726862815,0.10625335832285442,0.1455637659121583,0.09321326600659119,1
0.11533577213144133,0.0026430386012420183,0.10708738149574701,0.14317797395519258,0.07074014895716482,1
0.11575409698071808,0.003409935683953748,0.11199919484363194,0.13589628337414472,0.07085041753503005,1
0.1172801794604518,0.0036124334539012785,0.10650418022184713,0.1448269072501441,0.07363121989288068,1
0.10782295838519707,0.0019146118496428208,0.09915670484299632,0.14311624212063517,0.07448414150324127,1
0.11945730420893833,0.004134075672884442,0.10149080072139613,0.13872188735232638,0.0779503770956286,1
0.10238973011961083,0.002552284794863225,0.0927612093688779,0.11692720813071332,0.07279409564683818,1
0.12024349793801128,0.001775342116368107,0.12007956702188247,0.14658060418947197,0.08400886629131873,1
0.11515857146642232,0.0023356858330390046,0.11725491868117557,0.15326479825367498,0.08111330481545727,1
0.13214006068550743,0.004610156605909106,0.11876759680955934,0.1584376159995112,0.07954188750092425,1
0.10677337595426128,0.002196344384890998,0.09778498131822533,0.1221122403155606,0.08285011525485257,1
0.11030439861784096,0.002185748385893508,0.10535449695420333,0.13089201221808977,0.07819530138302955,1
0.11350181577304394,0.001991276121328777,0.10958429017887378,0.12947053548542048,0.0778355369129384,1
0.10844167941064038,0.003715327536727199,0.08849630676931655,0.13664648453180736,0.06991765251433754,1
0.10812291598928644,0.002781016166670644,0.09521747590434312,0.12573647534098362,0.07781984324567785,1
0.10325201775599249,0.0014547540265150882,0.097100210903285,0.13488374700055097,0.07275558597408253,1
0.11525552881113783,0.0024682078281346572,0.1055895052925567,0.14551059647971348,0.08652357686894949,1
0.09908945980801213,0.0011442097895183474,0.09305988498708467,0.11553757964171972,0.07561477856838825,1
0.11008508812422688,0.0028379698008893874,0.1036008533749973,0.13655350734472,0.0739807808535607,1
0.11590426737641027,0.003755553535348923,0.09629651846757209,0.155994111076937,0.06893069614620825,1
0.11700155480818228,0.002825376528024654,0.10099912931997358,0.14356626126233818,0.07928722942296407,1
0.12296642229474827,0.003932015235678593,0.1117749174477817,0.15429012429573907,0.07299313028325191,1
0.10870080361850754,0.0023539993159318257,0.10362813809107224,0.12149498082824922,0.0705200283498786,1
0.11352531955612506,0.004041075775072178,0.10015833639558926,0.12099949267436005,0.07264723214292437,1
0.10100421662751739,0.0021564858528130937,0.0885778735585826,0.14139243710304694,0.06347819478141226,1
